,goods_id,user_id,date,size,text,goods_url,goods_brand,goods_name,help_eval,style_eval,eval_list,rating,review_no,user_sex,user_height,user_weight
0,2442409,LV.5규동김,2022.06.03,L,1. 174cm 77kg2. L사이즈 구매했는데 생각보다 큼3. 흰색컬러 생각보다 두꺼워 안에 나시입어도 잘 안비침4. 팔소매부분 지름이 다른 옷보다 커 팔이 얇아보임5. 안에 넣어 입어도 되고 밖으로 빼서 입어도 이쁨,https://www.musinsa.com/app/goods/2442409/0,예일,(23SS) [ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,19,2,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '두께감두꺼워요']",5.0,28991032,,,
1,1904868,LV.4키작은퀀텍,2022.11.08,M,일단 핏이 마음에 들었습니다. 어깨선이 잘 나와서제가 운동을 그리 한 몸이 아닌데도 어깨가 넓어보이고 무난해서 데일리 룩으로 애용했습니다.,https://www.musinsa.com/app/goods/1904868/0,예일,(23SS) EMBROIDERY DAN PK SHIRT BLACK,1,0,"['사이즈보통이에요', '밝기어두워요', '색감보통이에요', '두께감얇아요']",5.0,34668118,남성 , 171cm , 65kg
2,2850043,LV.5지금 가는 중!,2022.12.17,L,2주를 고민하다가 샀는데 진작 살걸 그랬습니다 후회없어요!,https://www.musinsa.com/app/goods/2850043/0,예일,QUILTING HOODED ZIP UP BLACK,3,3,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성보통이에요']",5.0,36993139,남성 , 174cm , 73kg
3,2409894,LV.5브론즈_d17a0e61de0,2022.07.01,M,기능성 티 느낌입니다.얇고 시원해요. 만족합니다,https://www.musinsa.com/app/goods/2409894/0,예일,(23SS) [COOL COTTON] 2PACK SMALL ARCH TEE WHITE / BLACK,1,2,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감얇아요']",5.0,29937973,남성 , 173cm , 58kg
4,1949900,LV.3사또사뭘또사,2022.11.18,S,너무 옷자체가 귀엽네요.. 옷감도 너무 부드러워서 누구나 좋아할것 같아요.,https://www.musinsa.com/app/goods/1949900/0,예일,(23SS) HERITAGE UNIVERSITY DAN LAYERED TEE NAVY,0,0,"['사이즈보통이에요', '밝기밝아요', '색감선명해요', '두께감얇아요']",5.0,35242497,남성 , 167cm , 59kg
5,2442409,LV.4뉴비_e18404f2,2022.07.09,M,꾸안꾸로 가볍게 입기 좋아요!로고할 디자인도 너무너무 깔끔하고여름에 운동할때도 편합니다!다들 여름 기본템 요거 강추..,https://www.musinsa.com/app/goods/2442409/0,예일,(23SS) [ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,0,6,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,30227204,,,
6,2541879,LV.5IveDive,2022.07.04,XL,사이즈도 넉넉하고 클래식한 멋에 작은 로고 포인트가 귀엽습니다! 두께는 아주 얇은 건 아니지만 그래도 이정도면 괜찮은 듯 하네요! ,https://www.musinsa.com/app/goods/2541879/0,예일,[COOL] EMBROIDERY UNIVERSITY DAN SS SKIPPER KNIT BLACK,0,0,"['사이즈보통이에요', '밝기어두워요', '색감선명해요', '두께감보통이에요', '촉감부드러워요']",5.0,30060171,,,
7,2066837,LV.5푸항헹헹,2022.10.03,F,가방 사이즈도 적당하고 무엇보다 너무 예뻐요!! 꼭 사세요,https://www.musinsa.com/app/goods/2066837/0,예일,THINK PACK,1,1,"['사이즈커요', '밝기밝아요', '색감선명해요', '수납공간넉넉해요', '무게감가벼워요']",5.0,33118778,,,
8,2326935,LV.5불랑이,2022.04.07,M(논기모),진짜 너무너무 이쁨.. 왜 인기가 많은지 알겠네요 핏도 이쁘고 밑 시보리도 적당히 쫀쫀해요,https://www.musinsa.com/app/goods/2326935/0,예일,(23SS) 2 TONE ARCH HOODIE GRAY,0,5,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,27042491,남성 , 174cm , 50kg
9,1886950,LV.4뉴비_d3016577,2022.08.28,M,원단도 너무 두껍지 않으면서 적당히 탄탄하고 여름동안 너무 잘 입었어요. ,https://www.musinsa.com/app/goods/1886950/0,예일,(23SS) EMBROIDERY UNIVERSITY DAN TEE WHITE,1,0,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,31735254,여성 , 158cm , 48kg
10,2571284,LV.5김정우사냥꾼,2022.12.03,XL,진짜 너~~~~무 귀여워여 !!! 색감도 사진이랑 똑같고 사이즈도 잘 맞아요 쏘 큩~,https://www.musinsa.com/app/goods/2571284/0,예일,EMBROIDERY UNIVERSITY DAN DOGGY COLOR RAGLAN CREWNECK BLUE,1,0,[],5.0,36283662,,,
11,1776344,LV.4지원아정신차려,2022.03.03,L,스타일 후기입니당 매치하기 넘나 편해요! 사이즈 참고하시길,https://www.musinsa.com/app/goods/1776344/0,예일,STRIPE HANDSOME DAN SHIRT BLUE,1,2,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,25861445,남성 , 177cm , 70kg
12,2180260,LV.5구구오즈,2022.01.20,S,기대했던 것만큼 예쁜 제품이 와서 기뻐요 이번년에 여름 제외하고 아주 꾸준하게 입고 다닐 것 같아요 안에는 퀄팅 처리가 되어 있어서 껴입고 걸치면 초겨울도 가능할 것 같아요 다만 s인데도 불구하고 품이 크고 어깨가 너무 커서 (흔히 말하는 어깡핏) 여성분들은 무조건 s 추천드려요,https://www.musinsa.com/app/goods/2180260/0,예일,IVY LEAGUE BASEBALL STADIUM JACKET NAVY,0,2,"['사이즈커요', '밝기어두워요', '색감보통이에요', '두께감보통이에요']",5.0,24453791,여성 , 160cm , 54kg
13,2180260,LV.5뛰씨,2022.01.10,S,품은 큰데 길이는 짧은 느낌임니다 갱장히 힙해요,https://www.musinsa.com/app/goods/2180260/0,예일,IVY LEAGUE BASEBALL STADIUM JACKET NAVY,0,3,"['사이즈작아요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",4.0,24179432,여성 , 155cm , 50kg
14,2180260,LV.6what?????,2022.01.29,S,두께는 생각보다 얇았고 기장은 딱 맞았어요 살짝 크롭하게 입고싶었는데 딱입니다!,https://www.musinsa.com/app/goods/2180260/0,예일,IVY LEAGUE BASEBALL STADIUM JACKET NAVY,0,1,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,24733650,여성 , 163cm , 57kg
15,2850045,LV.5도루동히,2022.12.08,S,이쁘고 귀엽구 원하던 느낌입니다! 그치만 너무 열ㅈ아서 단독으로 입기는 힘들고 쫌 커서 방방 하네요 그래도 만족합니다! ,https://www.musinsa.com/app/goods/2850045/0,예일,QUILTING HOODED ZIP UP IVORY,1,2,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '무게감가벼워요', '보온성약해요']",5.0,36528245,여성 , 162cm , 58kg
16,2865390,LV.5응으으응으응응,2022.11.28,XL,입는순간 핀터레스트에서만 보던 멋진 외국형아되어벌입니다,https://www.musinsa.com/app/goods/2865390/0,예일,REVERSIBLE BLOUSON BEIGE,1,23,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,35961334,남성 , 185cm , 68kg
17,2835405,LV.5지니지니유우,2022.11.26,S,안쪽 공간이 넓은편이라 두꺼운 후드도 가능해요얇으나 따뜻함,https://www.musinsa.com/app/goods/2835405/0,예일,HEAVY BOA FLEECE POCKET ZIP UP BLACK,0,0,"['사이즈보통이에요', '밝기어두워요', '색감선명해요', '두께감보통이에요']",4.0,35885574,여성 , 164cm , 53kg
18,2767045,LV.5benelov,2022.10.17,S,디자인 맘에 들어서 여유 있게 기다려서 받은 상품 .상품 도착후 지퍼 열어서 입으려는데 밑에서 지퍼가 안빠짐 지퍼 불량으로 교환해서 어제 다시 받았는데 역시나 위에만 지퍼 고장인지 확인한 흔적이 보이고 밑에서 빼려니깐 저번거랑 똑같이 안 빠짐....너무 맘에드는 상품이라 손가락 빨게질 정도로...낑낑대면 겨우 뺐다...입어본 결과 갑자기 추워진 오늘 입기 딱 좋구 백뒤에 브랜드 로고도 너무 이쁘다...입을때마다 지퍼 고장 날까봐 신경쓰며 입어야 될것 같다지퍼 너무 빡빡해요 마지막 빼는 부분 확인하셔야 될것 같습니다~,https://www.musinsa.com/app/goods/2767045/0,예일,CANVAS DENIM QUILTED JACKET NAVY,2,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",3.0,33708739,여성 , 166cm , 55kg
