,Category,Subcategory,Item_code
0,T-shirt,반소매 티셔츠,996177
1,T-shirt,반소매 티셔츠,1382658
2,T-shirt,반소매 티셔츠,996178
3,T-shirt,반소매 티셔츠,1848166
4,T-shirt,반소매 티셔츠,2086653
5,T-shirt,반소매 티셔츠,1420730
6,T-shirt,반소매 티셔츠,324416
7,T-shirt,반소매 티셔츠,996497
8,T-shirt,반소매 티셔츠,903340
9,T-shirt,반소매 티셔츠,2034137
10,T-shirt,반소매 티셔츠,2411265
11,T-shirt,반소매 티셔츠,1884943
12,T-shirt,반소매 티셔츠,1417691
13,T-shirt,반소매 티셔츠,2122566
14,T-shirt,반소매 티셔츠,1375522
15,T-shirt,반소매 티셔츠,987149
16,T-shirt,반소매 티셔츠,2186292
17,T-shirt,반소매 티셔츠,1815503
18,T-shirt,반소매 티셔츠,746280
19,T-shirt,반소매 티셔츠,1685307
20,T-shirt,반소매 티셔츠,1886950
21,T-shirt,반소매 티셔츠,996498
22,T-shirt,반소매 티셔츠,1841764
23,T-shirt,반소매 티셔츠,1939099
24,T-shirt,반소매 티셔츠,1388775
25,T-shirt,반소매 티셔츠,345889
26,T-shirt,반소매 티셔츠,2442409
27,T-shirt,반소매 티셔츠,1454812
28,T-shirt,반소매 티셔츠,2035287
29,T-shirt,반소매 티셔츠,540421
30,T-shirt,반소매 티셔츠,1388776
31,T-shirt,반소매 티셔츠,746276
32,T-shirt,반소매 티셔츠,1027583
33,T-shirt,반소매 티셔츠,1921901
34,T-shirt,반소매 티셔츠,1390339
35,T-shirt,반소매 티셔츠,1503352
36,T-shirt,반소매 티셔츠,1846930
37,T-shirt,반소매 티셔츠,747950
38,T-shirt,반소매 티셔츠,999577
39,T-shirt,반소매 티셔츠,1417715
40,T-shirt,반소매 티셔츠,999287
41,T-shirt,반소매 티셔츠,1779737
42,T-shirt,반소매 티셔츠,1807072
43,T-shirt,반소매 티셔츠,1425234
44,T-shirt,반소매 티셔츠,1827193
45,T-shirt,반소매 티셔츠,1417692
46,T-shirt,반소매 티셔츠,2050094
47,T-shirt,반소매 티셔츠,747941
48,T-shirt,반소매 티셔츠,2402005
49,T-shirt,반소매 티셔츠,1793420
50,T-shirt,반소매 티셔츠,567733
51,T-shirt,반소매 티셔츠,2471760
52,T-shirt,반소매 티셔츠,996193
53,T-shirt,반소매 티셔츠,1648564
54,T-shirt,반소매 티셔츠,1882396
55,T-shirt,반소매 티셔츠,2453556
56,T-shirt,반소매 티셔츠,2015684
57,T-shirt,반소매 티셔츠,1051406
58,T-shirt,반소매 티셔츠,1027576
59,T-shirt,반소매 티셔츠,1042880
60,T-shirt,반소매 티셔츠,2411190
61,T-shirt,반소매 티셔츠,1911516
62,T-shirt,반소매 티셔츠,903341
63,T-shirt,반소매 티셔츠,1899755
64,T-shirt,반소매 티셔츠,2409894
65,T-shirt,반소매 티셔츠,538279
66,T-shirt,반소매 티셔츠,2368712
67,T-shirt,반소매 티셔츠,996179
68,T-shirt,반소매 티셔츠,1356896
69,T-shirt,반소매 티셔츠,1820701
70,T-shirt,반소매 티셔츠,1943792
71,T-shirt,반소매 티셔츠,2479911
72,T-shirt,반소매 티셔츠,996180
73,T-shirt,반소매 티셔츠,1793413
74,T-shirt,반소매 티셔츠,1021729
75,T-shirt,반소매 티셔츠,726408
76,T-shirt,반소매 티셔츠,2329824
77,T-shirt,반소매 티셔츠,1886956
78,T-shirt,반소매 티셔츠,1827196
79,T-shirt,반소매 티셔츠,2377269
80,T-shirt,반소매 티셔츠,1862477
81,T-shirt,반소매 티셔츠,2082054
82,T-shirt,반소매 티셔츠,999580
83,T-shirt,반소매 티셔츠,1417716
84,T-shirt,반소매 티셔츠,1944612
85,T-shirt,반소매 티셔츠,1042882
86,T-shirt,반소매 티셔츠,2274644
87,T-shirt,반소매 티셔츠,1893766
88,T-shirt,반소매 티셔츠,1021715
89,T-shirt,반소매 티셔츠,1876384
90,T-shirt,반소매 티셔츠,1838937
91,T-shirt,반소매 티셔츠,2406942
92,T-shirt,반소매 티셔츠,2462040
93,T-shirt,반소매 티셔츠,2376229
94,T-shirt,반소매 티셔츠,1840098
95,T-shirt,반소매 티셔츠,1466038
96,T-shirt,반소매 티셔츠,726411
97,T-shirt,반소매 티셔츠,1742666
98,T-shirt,반소매 티셔츠,1423410
99,T-shirt,반소매 티셔츠,2487717
100,T-shirt,반소매 티셔츠,538280
101,T-shirt,반소매 티셔츠,2122565
102,T-shirt,반소매 티셔츠,1763157
103,T-shirt,반소매 티셔츠,324471
104,T-shirt,반소매 티셔츠,2401885
105,T-shirt,반소매 티셔츠,2029969
106,T-shirt,반소매 티셔츠,1001714
107,T-shirt,반소매 티셔츠,1782647
108,T-shirt,반소매 티셔츠,1410570
109,T-shirt,반소매 티셔츠,1886953
110,T-shirt,반소매 티셔츠,1382610
